"Timestamp","Name","Favorite","Underdog","Over","Under"
"2023/10/04 9:32:15 PM AST","Ari S.","Panthers @ Lions (Lions -10.0)","Jets @ Broncos (Jets +1.5)","Chiefs @ Vikings (O 52.5)","Ravens @ Steelers (U 38.0)"
"2023/10/04 9:42:30 PM AST","Jack C.","Giants @ Dolphins (Dolphins -10.5)","Saints @ Patriots (Patriots +1.0)","Cowboys @ 49ers (O 45.0)","Bengals @ Cardinals (U 44.5)"
"2023/10/04 9:45:11 PM AST","Jacob N.","Eagles @ Rams (Eagles -4.5)","Texans @ Falcons (Texans +2.0)","Chiefs @ Vikings (O 52.5)","Titans @ Colts (U 42.5)"
"2023/10/04 10:14:36 PM AST","Bryan M.","Texans @ Falcons (Falcons -2.0)","Titans @ Colts (Colts +1.5)","Chiefs @ Vikings (O 52.5)","Saints @ Patriots (U 40.0)"
"2023/10/04 10:18:21 PM AST","Zach B.","Chiefs @ Vikings (Chiefs -4.0)","Saints @ Patriots (Patriots +1.0)","Cowboys @ 49ers (O 45.0)","Jets @ Broncos (U 43.5)"
"2023/10/04 10:22:07 PM AST","Neil S.","Bengals @ Cardinals (Bengals -3.0)","Jets @ Broncos (Jets +1.5)","Jaguars @ Bills (O 48.5)","Titans @ Colts (U 42.5)"
"2023/10/04 10:24:13 PM AST","Matthew G.","Texans @ Falcons (Falcons -2.0)","Jaguars @ Bills (Jaguars +5.5)","Bears @ Commanders (O 44.5)","Ravens @ Steelers (U 38.0)"
"2023/10/04 10:34:41 PM AST","Jack M.","Giants @ Dolphins (Dolphins -10.5)","Cowboys @ 49ers (Cowboys +3.5)","Eagles @ Rams (O 50.5)","Jets @ Broncos (U 43.5)"
"2023/10/04 11:46:28 PM AST","Josh R.","Chiefs @ Vikings (Chiefs -4.0)","Titans @ Colts (Colts +1.5)","Jaguars @ Bills (O 48.5)","Eagles @ Rams (U 50.5)"
"2023/10/05 8:46:59 AM AST","Justin F.","Saints @ Patriots (Saints -1.0)","Jets @ Broncos (Jets +1.5)","Bears @ Commanders (O 44.5)","Titans @ Colts (U 42.5)"
