"Timestamp","Name","Favorite","Underdog","Over","Under"
"2023/11/08 4:42:28 PM EST","Jacob N.","Packers @ Steelers (Steelers -3.0)","Saints @ Vikings (Vikings +2.5)","Texans @ Bengals (O 47.0)","49ers @ Jaguars (U 45.5)"
"2023/11/08 4:44:43 PM EST","Justin F.","49ers @ Jaguars (49ers -3.0)","Panthers @ Bears (Panthers +3.0)","Browns @ Ravens (O 38.5)","Lions @ Chargers (U 48.5)"
"2023/11/08 4:46:29 PM EST","Ari S.","Jets @ Raiders (Jets -1.5)","49ers @ Jaguars (Jaguars +3.0)","Lions @ Chargers (O 48.5)","Colts @ Patriots (U 43.5)"
"2023/11/08 4:52:58 PM EST","Neil S.","Jets @ Raiders (Jets -1.5)","Broncos @ Bills (Broncos +7.5)","Falcons @ Cardinals (O 43.5)","Browns @ Ravens (U 38.5)"
"2023/11/08 4:59:30 PM EST","Josh R.","Lions @ Chargers (Lions -3.0)","Jets @ Raiders (Raiders +1.5)","Titans @ Buccaneers (O 38.5)","Colts @ Patriots (U 43.5)"
"2023/11/08 5:22:08 PM EST","Matthew G.","Panthers @ Bears (Bears -3.0)","Titans @ Buccaneers (Titans +1.5)","Falcons @ Cardinals (O 43.5)","Browns @ Ravens (U 38.5)"
"2023/11/08 5:25:48 PM EST","Jack C.","Packers @ Steelers (Steelers -3.0)","Saints @ Vikings (Vikings +2.5)","Texans @ Bengals (O 47.0)","Titans @ Buccaneers (U 38.5)"
"2023/11/09 10:20:49 AM EST","Zach B.","Packers @ Steelers (Steelers -3.0)","Lions @ Chargers (Chargers +3.0)","Titans @ Buccaneers (O 38.5)","Giants @ Cowboys (U 38.5)"
"2023/11/09 11:06:43 AM EST","Jack M.","Packers @ Steelers (Steelers -3.0)","Panthers @ Bears (Panthers +3.0)","Commanders @ Seahawks (O 45.5)","Giants @ Cowboys (U 38.5)"
"2023/11/09 1:27:53 PM EST","Bryan M.","Falcons @ Cardinals (Falcons -1.5)","Browns @ Ravens (Browns +6.0)","Giants @ Cowboys (O 38.5)","Broncos @ Bills (U 47.0)"
